"Invoice Id","Order Id","Delivery Date","Total Amount","Paid Amount","Balance Amount","Status","Barcode","Customer ID","Customer Name","Customer Phone Number","Invoice Type","Notes","Active"
"G6IP-2299","1647835301404","2022-03-21","7050","7050","0",,"00vp9rf2ecpou04b66i1zx",117,"Very New Customer","1254639870","onAccount",,true
"0HK5-0652","1647846140356",,"47938","47938","0",,"idlzvnq0omobx9ruetb2j7",,,,"cashAndCarry",,true
"NV2N-0301","1647846200016",,"47938","47938","0",,"q5hunxkm949o80vft71c",,,,"cashAndCarry",,true
"7FXG-6453","1647846376154",,"550","550","0",,"gwkm69tw2na6gtvo0m3yj",,,,"cashAndCarry",,true
"3WJJ-7555","1647685887066",,"7050","705","6345",,"kkkdk5xf0f8djs4euzo5i",,,,"cashAndCarry",,true
"79K8-7729","1647833306744",,"550","50","500",,"s2y69o65a9ctw0u2uked0e",,,,"cashAndCarry",,true
"S96K-0715","1647834109713",,"1240","1240","0",,"avms4h1w2njbgplfqjvi3m",,,,"cashAndCarry",,true
"QYAH-8212","1647834257222","2022-03-21","150","150","0",,"zftx4s24j8b62z4rjs1g1t",118,"march","8523698523","onAccount",,true
"HR3S-1532","1647834910439",,"150","150","0",,"3z840hrpcwitkpzgzcjv7d",,,,"cashAndCarry",,true
"82UR-7299","1647834946586",,"7050","7050","0",,"ajzid16xz2qlf1ruigaxs",,,,"cashAndCarry",,true
"LPDU-5984","1647846635691",,"47938","47938","0",,"y86fqixc1ajpv6y4ieare",,,,"cashAndCarry",,true
"2AWR-6454","1647846646237",,"7050","7050","0",,"zc7avyagm1qi039m6tln8f",,,,"cashAndCarry",,true
"WFBH-8842","1647850998559",,"48088","48088","0",,"v3lecxtolwr0t2gtxbefqcj",,,,"cashAndCarry",,true
"SC5G-8878","1647851008658",,"550","550","0",,"9a31tgcqgyp2ten15gdwk",,,,"cashAndCarry",,true
"QYU9-8298","1647852627834",,"200","100","100",,"y79zc2yyspi77pz339or3c",,,,"cashAndCarry",,true
"SPRZ-0850","1647852670530",,"200","120","80",,"qr2me9rbbjp8uazbhbd63v",,,,"cashAndCarry",,true
"SCYR-9433","1647852719079",,"200","100","100",,"amg5jd57p3dxnovtuhtns",,,,"cashAndCarry",,true
"SCQQ-4777","1647852784448",,"200","150","50",,"y6zpaw2st9nuptibqtrhh",,,,"cashAndCarry",,true
"WT8X-6813","1647852826454",,"200","120","80",,"61sezx4cfqb22dmwkdok66",,,,"cashAndCarry",,true
"S747-1471","1648020880927",,"260","260","0",,"axq48ynfufsw5xmpgd8fnl",,,,"cashAndCarry",,true
"SSUX-9028","1647855168973",,"50050","500","49550",,"jty8qlhteh9r30licwkis8",,,,"cashAndCarry",,true
"SHVL-3337","1647862943009",,"3960","3960","0",,"nlrjl3729ta1yv82pirlf",,,,"cashAndCarry",,true
"S2W7-2788","1648040212480",,"430","430","0",,"07kb3avs3svwv7gwypfvdeo",,,,"cashAndCarry",,true
"SAVS-2864","1647927412652",,"150","10","140",,"zltmj1wezvga512kgkhxtp",,,,"cashAndCarry",,true
"SHYN-9640","1647929199348",,"47938","47938","0",,"f98fsff21o1rfgjh5pxtp",,,,"cashAndCarry",,true
"SRUJ-2284","1647929262006","2022-03-25","6050","6050","0",,"ymdopsx2uqs01f6wzqlce3h",114,"rohini","7878787870","onAccount",,true
"SIIY-2296","1647927862081",,"160","130","30",,"bxj9zli5bgr59vyyd3zc94",,,,"cashAndCarry",,true
"SFAT-5065","1647930624723",,"1530","1500","30",,"j7u17o52hsu0ympmgs4n",,,,"cashAndCarry",,true
"SCA4-9595","1648041639293",,"100","100","0",,"m7feybcgchedab9tj2qen",,,,"cashAndCarry",,true
"S4V1-6769","1648012706408",,"160","160","0",,"ohk2h4a9np3nvraklou65",,,,"cashAndCarry",,true
"SCPG-1278","1647929951060",,"160","90","70",,"s8tedcp7syc42irpdnle",,,,"cashAndCarry",,true
"SSLJ-1212","1647937220905",,"160","160","0",,"qkzilvzr40nr8qqx8ytotk",,,,"cashAndCarry",,true
"SUEG-6670","1647937236362",,"160","160","0",,"k8bkbpkongckehwg5dhk7",,,,"cashAndCarry",,true
"S6SP-8928","1647937258791",,"160","160","0",,"ymd3p0b7ny0fr9dxnrfxf8",,,,"cashAndCarry",,true
"ST8T-9091","1647945728788",,"630","630","0",,"hv8gek0gurmymfppea69j",,,,"cashAndCarry",,true
"SWY0-5642","1648103225284",,"200","200","0",,"n3jr2wf8okvuw2z7rq1ad",,,,"cashAndCarry",,true
"SDXC-6396","1648101586095",,"600","600","0",,"ds6ymx887fboa2m6xhq3aa",,,,"cashAndCarry",,true
"S4PD-7518","1647932477297","2022-03-22","160","160","0",,"2bxm0h6a73ip5gtulnq818",113,"New Cust","7896541236","onAccount",,true
"SIZE-1072","1648009900847",,"160","160","0",,"smfxn14kkxfw6a3f6dn3b",,,,"cashAndCarry",,true
"SZKR-5214","1648101654677",,"100","100","0",,"uq1zuzccgzr9yirqi2vldb",,,,"cashAndCarry",,true
"SG5I-5773","1647850975396",,"48088","48088","0",,"oea66ww5wo7kjn9f7kroc",,,,"cashAndCarry",,true
"SYFX-9780","1648012879597",,"160","160","0",,"yqhupegx5iq585vo9golw5",,,,"cashAndCarry",,true
"SQEF-6431","1647859136205",,"160","160","0",,"kt1y61agnpnzkuumqlhcab",,,,"cashAndCarry",,true
"SJWF-5837","1648015675538",,"160","160","0",,"hsq3xm1zsyw1vyc4mxpjie",,,,"cashAndCarry",,true
"SKJI-2294","1647863882087",,"160","50","110",,"oxfw3dnscggbvq8x09raa",,,,"cashAndCarry",,true
"S7HO-9158","1647925058934",,"160","160","0",,"i8b6f1w8rgdvfcglrvqbvh",,,,"cashAndCarry",,true
"SAWP-7863","1648020097490",,"160","160","0",,"c7hwfy21alh4d78dzddlg3",,,,"cashAndCarry",,true
"SNVI-6944","1648020676637",,"160","160","0",,"925kjivfynuwgc7t1ns3w",,,,"cashAndCarry",,true
"SOQO-7081","1648020856748",,"160","160","0",,"hbc7zpveiljhh0edigih9",,,,"cashAndCarry",,true
"SEOQ-9521","1648020869212",,"50160","50160","0",,"rgn73iefhhruot77ztntik",,,,"cashAndCarry",,true
"SCKR-7564","1647932417307","2022-03-22","550","550","0",,"221jvafxsxikitsiq1xdn",118,"march","8523698523","onAccount",,true
"SJ2N-2216","1648102751946",,"250","250","0",,"7qnh14yplqsu1tj086sfzf",,,,"cashAndCarry",,true
"SBF4-6932","1647854896638","2022-03-23","550","550","0",,"iq086h1ixeoly5f1i02yul",118,"march","8523698523","onAccount",,true
"SZK0-0500","1647925150276","2022-03-22","50050","50050","0",,"4uc78jtp07qy4og89nisvp",118,"march","8523698523","onAccount",,true
"SAAY-4100","1648101573793",,"600","600","0",,"xhyrofabgqlohd9btnfris",,,,"cashAndCarry",,true
"SN9O-1207","1648103120509","2022-03-25","200","200","0",,"nsdax46rc8cnixgwxpdga",130,"customer name","7896541235","onAccount",,true
"SH9Y-8986","1647930968709",,"550","50","500",,"buk47enokgeikxxhe2eok",,,,"cashAndCarry",,true
"SVI8-9103","1648097958798",,"140","185","0",,"zres542wrojfwil0fzoafp",,,,"cashAndCarry",,true
"SI3U-2688","1648103372012",,"200","120","80",,"s5rznk0qq3iv8jfw164d5o",,,,"cashAndCarry",,true
"SYED-8633","1648113018302",,"100","300","0",,"vu1carpkoid2x4enu6zi0k",,,,"cashAndCarry",,true
"SGBU-0498","1648102460210",,"490","150","0",,"wtojgidm0ukcugms2f4i",,,,"cashAndCarry",,true
"SMZC-4526","1648119964216",,"135","135","0",,"9gudyiv39wwato4y5nacp",,,,"cashAndCarry",,true
"SLQJ-6889","1648120106624","2022-03-30","62","62","0",,"kcvt2b1xico3uwy2i95q83",102,"fgfdhfdh","3434343434","onAccount",,true
